City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la passe,45.5549,-0.8967,15.13,79,100,2.99,FR,1710616689
83,olsztynek,53.5837,20.2847,8.8,85,98,4.9,PL,1710616690
84,saint-joseph,-21.3667,55.6167,25.21,80,40,5.34,RE,1710616517
85,hadibu,12.65,54.0333,25.24,69,5,4.03,YE,1710616691
86,la'ie,21.6477,-157.9253,23.92,65,5,1.79,US,1710616692
87,thompson,55.7435,-97.8558,-10.91,67,100,5.14,CA,1710616692
88,mysen,59.5535,11.3258,0.73,90,100,5.67,NO,1710616693
89,nouadhibou,20.931,-17.0347,17.99,88,0,8.75,MR,1710616694
90,timaru,-44.4,171.25,11.71,93,98,0.9,NZ,1710616694
91,qaqortoq,60.7167,-46.0333,-5.29,84,45,1.04,GL,1710616695
92,khada,27.1833,83.8833,18.93,17,83,2.47,IN,1710616696
93,banda aceh,5.5577,95.3222,26.89,73,93,1.99,ID,1710616696
94,fale old settlement,-9.3852,-171.2468,29.36,70,51,3.51,TK,1710616697
95,udachny,66.4167,112.4,-31.89,100,63,2.3,RU,1710616697
96,cururupu,-1.8283,-44.8683,27.07,87,100,1.99,BR,1710616698
97,fortaleza,-3.7227,-38.5247,30.04,92,20,6.17,BR,1710616469
98,vilyuchinsk,52.9306,158.4028,-0.85,87,100,8.28,RU,1710616699
99,arraial do cabo,-22.9661,-42.0278,31.98,70,0,6.17,BR,1710616700
100,lazaro cardenas,17.9583,-102.2,27.96,59,32,3.44,MX,1710616700
101,utrik,11.2278,169.8474,26.8,71,100,6.3,MH,1710616425
102,turpan,42.9333,89.1667,7.3,27,0,1.22,CN,1710616702
103,fort mcmurray,56.7268,-111.381,-3.23,54,0,2.57,CA,1710616541
104,chatham,51.3789,0.5279,11.17,61,100,1.79,GB,1710616511
105,st. john's,47.5649,-52.7093,2.31,85,75,3.6,CA,1710616676
106,san patricio,28.017,-97.5169,30.97,51,99,3.57,US,1710616704
107,binzhou,37.3667,118.0167,9.03,22,100,7.67,CN,1710616705
108,mbamba bay,-11.2833,34.7667,25.77,80,98,1.97,TZ,1710616705
109,villa de soto,-30.8552,-64.9995,27.79,65,100,4.4,AR,1710616706
110,batang,-6.4846,110.7083,25.61,90,100,5.51,ID,1710616707
111,kosh-agach,50.0,88.6667,-20.39,87,100,1.79,RU,1710616707
112,aitape,-3.1374,142.3475,26.03,90,94,4.17,PG,1710616708
113,berrahal,36.8353,7.4533,13.85,93,6,1.84,DZ,1710616709
114,lospalos,-8.5186,127.0025,23.8,89,100,4.01,TL,1710616709
115,andreapol',56.6513,32.2664,2.18,95,100,4.06,RU,1710616710
116,afaahiti,-17.75,-149.2833,29.93,78,100,5.19,PF,1710616710
117,stanley,54.868,-1.6985,7.77,88,40,2.57,GB,1710616711
118,kusheriki,10.5328,6.4422,34.59,16,11,1.83,NG,1710616712
119,namibe,-15.1961,12.1522,25.53,63,42,4.33,AO,1710616712
120,balsas,-7.5325,-46.0356,29.27,70,100,1.39,BR,1710616713
121,kodiak,57.79,-152.4072,0.73,80,100,6.17,US,1710616713
122,puerto ayora,-0.7393,-90.3518,31.98,86,68,3.58,EC,1710616714
123,new norfolk,-42.7826,147.0587,11.72,99,100,1.23,AU,1710616715
124,pekalongan,-6.8886,109.6753,25.84,86,100,3.15,ID,1710616516
125,mount pearl,47.5166,-52.7813,1.85,84,75,3.6,CA,1710616716
126,atafu village,-8.5421,-172.5159,29.42,74,100,4.65,TK,1710616717
127,badger,64.8,-147.5333,-13.07,66,100,1.54,US,1710616717
128,daru,-9.0763,143.2092,25.7,87,99,4.09,PG,1710616718
129,bilibino,68.0546,166.4372,-24.46,93,32,1.63,RU,1710616719
130,hithadhoo,-0.6,73.0833,28.63,69,28,3.77,MV,1710616719
131,isafjordur,66.0755,-23.124,-3.06,90,100,8.18,IS,1710616720
132,nang rong,14.6377,102.7914,26.17,72,43,2.77,TH,1710616721
133,coari,-4.085,-63.1414,23.83,98,100,3.05,BR,1710616721
134,ivdel',60.6911,60.4206,2.88,90,100,4.47,RU,1710616722
135,chabahar,25.2919,60.643,23.84,61,0,3.07,IR,1710616723
136,tekirova,36.5017,30.5272,13.88,76,100,1.61,TR,1710616723
137,san antonio,29.4241,-98.4936,25.01,76,100,2.57,US,1710616009
138,pacific grove,36.6177,-121.9166,19.94,63,0,2.57,US,1710616604
139,longyearbyen,78.2186,15.6401,-19.09,60,19,7.72,SJ,1710616726
140,sao vicente,-23.9631,-46.3919,38.48,59,20,2.24,BR,1710616633
141,burang,30.25,81.1667,-16.15,92,49,0.92,CN,1710616727
142,carolina beach,34.0352,-77.8936,21.03,79,70,1.79,US,1710616727
143,midlothian,32.4824,-96.9945,17.24,92,100,2.68,US,1710616601
144,moyale,3.5167,39.0584,26.27,34,7,7.62,KE,1710616729
145,saldanha,-33.0117,17.9442,17.25,78,76,9.51,ZA,1710616729
146,fomboni,-12.28,43.7425,29.92,73,99,4.01,KM,1710616730
147,kerikeri,-35.2268,173.9474,9.8,85,0,1.79,NZ,1710616730
148,vorgashor,67.5833,63.95,-15.36,91,100,3.79,RU,1710616731
149,ushuaia,-54.8,-68.3,7.08,61,96,2.33,AR,1710616056
150,novokuybyshevsk,53.0959,49.9462,-7.9,93,98,2.0,RU,1710616646
151,fort st. john,56.2499,-120.8529,7.94,61,75,4.12,CA,1710616665
152,klyuchi,52.2667,79.1667,-3.93,86,100,6.71,RU,1710616733
